;Вопрос;Тип обращения;Обращение;Ответ
original;Не работает интернет на компьютере, модем показывает только 3 сигнала;Интернет;"The Internet does not work on the computer, the modem shows only 3 signals
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_ang;Интернет на компьютере не работает, модем показывает всего 3 сигнала;Интернет;"The Internet does not work on the computer, the modem shows only 3 signals
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_arab;Интернет на компьютере не работает, а модем отображает всего 3 сигнала;Интернет;"The Internet does not work on the computer, the modem shows only 3 signals
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
original;Здравствуйте! Не работает домашний интернет по вай фаю, почему? Модем работает, раздает.;Интернет;"Hello! Home Internet wi-fi does not work, why? The modem works, distributes.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Здравствуйте! Домашний интернет wi-fi не работает, почему? Модем работает, раздает.;Интернет;"Hello! Home Internet wi-fi does not work, why? The modem works, distributes.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Здравствуйте! Домашний wi-fi не работает, почему? Модем рабочий, раздача.;Интернет;"Hello! Home Internet wi-fi does not work, why? The modem works, distributes.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Здравствуйте. Не работает интернет. Не могли бы вы помочь.;Интернет;"Hello. Internet does not work. Could you help me.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Здравствуйте. Интернет не работает. Не могли бы вы помочь мне.;Интернет;"Hello. Internet does not work. Could you help me.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Здравствуй. Интернет не работает. вы можете мне помочь.;Интернет;"Hello. Internet does not work. Could you help me.
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Почему так быстро закончился трафик;Интернет;"Why did the traffic run out so quickly?
";0.0
from_ang;Почему так быстро закончился трафик?;Интернет;"Why did the traffic run out so quickly?
";0.0
from_arab;Почему движение было таким быстрым?;Интернет;"Why did the traffic run out so quickly?
";0.0
original;Можно ли мне повысить скорость интернета без замены технологии подключения;Интернет;"Can I improve my internet speed without changing the connection technology
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
from_ang;Могу ли я улучшить скорость интернета, не меняя технологию подключения;Интернет;"Can I improve my internet speed without changing the connection technology
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
from_arab;Могу ли я улучшить скорость интернета, не меняя технологию подключения?;Интернет;"Can I improve my internet speed without changing the connection technology
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
original;Здравствуйте. Интернет пропал что-то;Интернет;"Hello. Internet is missing something
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Здравствуйте. Интернет чего-то не хватает;Интернет;"Hello. Internet is missing something
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Здравствуй. В Интернете чего-то не хватает;Интернет;"Hello. Internet is missing something
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Добрый вечер! Подскажите пожалуйста текущую входящую скорость по моему лицевому счету;Интернет;"Good evening! Please tell me the current incoming speed on my personal account
";https://spb.rt.ru/support/internet/tariff-service-management/speed-according-to-tariff-plan
from_ang;Добрый вечер! Подскажите пожалуйста текущую скорость входящего в моем личном кабинете;Интернет;"Good evening! Please tell me the current incoming speed on my personal account
";https://spb.rt.ru/support/internet/tariff-service-management/speed-according-to-tariff-plan
from_arab;Добрый вечер! Подскажите пожалуйста текущую скорость входа человека в мой личный кабинет;Интернет;"Good evening! Please tell me the current incoming speed on my personal account
";https://spb.rt.ru/support/internet/tariff-service-management/speed-according-to-tariff-plan
original;Здравствуйте. Хотелось бы проверить скорость интернета. Вай фай вообще не грузит.;Интернет;"Hello. I would like to check the internet speed. Wi-Fi does not load at all.
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_ang;Здравствуйте. Я хочу проверить скорость интернета. Wi-Fi вообще не загружается.;Интернет;"Hello. I would like to check the internet speed. Wi-Fi does not load at all.
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
from_arab;Здравствуй. Я хочу проверить скорость своего интернета. Wi-Fi вообще не загружается.;Интернет;"Hello. I would like to check the internet speed. Wi-Fi does not load at all.
";https://spb.rt.ru/support/internet/diagnostics/low-speed-internet
original;Добрый вечер. Нет подключения. Прошу проверить что случилось;Интернет;"Good evening. No connection. Please check what happened
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Добрый вечер. Нет соединения. Пожалуйста, проверьте что случилось;Интернет;"Good evening. No connection. Please check what happened
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Добрый вечер. нет соединения. Пожалуйста, проверьте что случилось;Интернет;"Good evening. No connection. Please check what happened
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Здравствуйте, такая проблема, я переехал, а интернет мне перенести не могут, что делать?;Интернет;"Hello, such a problem, I have moved, but they cannot transfer the Internet to me, what should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/relocation
from_ang;Здравствуйте, такая проблема, я переехал, но мне не могут передать интернет, что делать?;Интернет;"Hello, such a problem, I have moved, but they cannot transfer the Internet to me, what should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/relocation
from_arab;Эй, это проблема, я переехал, но они не могут передать мне интернет, что мне делать?;Интернет;"Hello, such a problem, I have moved, but they cannot transfer the Internet to me, what should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/relocation
original;Пропало WAN соединение. С чем это может быть связано?;Интернет;"Lost WAN connection. With what it can be connected?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Потеряно WAN-соединение. С чем это может быть связано?;Интернет;"Lost WAN connection. With what it can be connected?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;WAN-соединение потеряно. Что может быть связано?;Интернет;"Lost WAN connection. With what it can be connected?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Расскажите, пожалуйста, подробно о том, что какая разница между подключением интернета через оптоволокно или телефон?;Интернет;"Please tell us in detail what is the difference between connecting the Internet via fiber optic or telephone?
";https://spb.rt.ru/support/internet/connect/connection-technologies
from_ang;Расскажите, пожалуйста, подробно, в чем разница между подключением к Интернету по оптоволокну или по телефону?;Интернет;"Please tell us in detail what is the difference between connecting the Internet via fiber optic or telephone?
";https://spb.rt.ru/support/internet/connect/connection-technologies
from_arab;Расскажите подробнее, в чем разница между подключением к Интернету по оптоволокну или по телефону?;Интернет;"Please tell us in detail what is the difference between connecting the Internet via fiber optic or telephone?
";https://spb.rt.ru/support/internet/connect/connection-technologies
original;Добрый день, проблема с интернетом, не горит dsl индикатор;Интернет;"Good afternoon, problem with the Internet, dsl indicator is off
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Добрый день, проблема с интернетом, индикатор dsl не горит;Интернет;"Good afternoon, problem with the Internet, dsl indicator is off
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Добрый вечер, проблема с интернетом, индикатор dsl не горит;Интернет;"Good afternoon, problem with the Internet, dsl indicator is off
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Забыла пароль;Интернет;"Forgot the password
";0.0
from_ang;Забыла пароль;Интернет;"Forgot the password
";0.0
from_arab;Забыли свой пароль;Интернет;"Forgot the password
";0.0
original;Интересует услуга подключения высокоскоростного интернета в частный жилой сектор;Интернет;"Interested in the service of connecting high-speed Internet to the private residential sector
";https://spb.rt.ru/support/internet/connect/conduct-internet-in-house
from_ang;Заинтересованы в услуге подключения высокоскоростного интернета к частному жилому сектору;Интернет;"Interested in the service of connecting high-speed Internet to the private residential sector
";https://spb.rt.ru/support/internet/connect/conduct-internet-in-house
from_arab;Заинтересованы в высокоскоростном интернет-подключении для частного жилого сектора;Интернет;"Interested in the service of connecting high-speed Internet to the private residential sector
";https://spb.rt.ru/support/internet/connect/conduct-internet-in-house
original;Хочу менять пароль от вайфай но у меня никак не получается.;Интернет;"I want to change the password for Wi-Fi, but I can't do it.
";0.0
from_ang;Я хочу изменить пароль для Wi-Fi, но не могу этого сделать.;Интернет;"I want to change the password for Wi-Fi, but I can't do it.
";0.0
from_arab;Я хочу изменить свой пароль Wi-Fi, но не могу.;Интернет;"I want to change the password for Wi-Fi, but I can't do it.
";0.0
original;Здравствуйте, у нас роутер не раздает интернет. Что можно сделать?;Интернет;"Hello, our router does not distribute the Internet. What can be done?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_ang;Здравствуйте, наш роутер инет не раздает. Что можно сделать?;Интернет;"Hello, our router does not distribute the Internet. What can be done?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
from_arab;Эй, наш роутер инет не раздает. Что он может сделать?;Интернет;"Hello, our router does not distribute the Internet. What can be done?
";https://spb.rt.ru/support/internet/diagnostics/no-internet-access
original;Здравствуйте, мне нужна большая скорость, 100 мб не устраивает. Что мне делать?;Интернет;"Hello, I need high speed, 100 mb does not suit me. What should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
from_ang;Здравствуйте, нужна высокая скорость, 100 мб меня не устраивает. Что я должен делать?;Интернет;"Hello, I need high speed, 100 mb does not suit me. What should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
from_arab;Привет, мне нужна скоростная 100 мега, которая меня не устраивает. Что я должен делать?;Интернет;"Hello, I need high speed, 100 mb does not suit me. What should I do?
";https://spb.rt.ru/support/internet/tariff-service-management/increase-internet-speed
original;почему не могу подключить wi-fi к телефону;Интернет;"why can't I connect wi-fi to my phone
";https://spb.rt.ru/support/internet/setting/everything-about-wifi-and-speed
from_ang;почему я не могу подключить Wi-Fi к моему телефону;Интернет;"why can't I connect wi-fi to my phone
";https://spb.rt.ru/support/internet/setting/everything-about-wifi-and-speed
from_arab;Почему я не могу подключить к телефону Wi-Fi;Интернет;"why can't I connect wi-fi to my phone
";https://spb.rt.ru/support/internet/setting/everything-about-wifi-and-speed
original;Как изменить тариф?;Интернет;"How can I change the tariff?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
from_ang;Как я могу изменить тариф?;Интернет;"How can I change the tariff?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
from_arab;Как я могу изменить тариф?;Интернет;"How can I change the tariff?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
original;Как оплатить?;Интернет;"How to pay?
";https://spb.rt.ru/support/internet/payment/available-payment-methods
from_ang;Как платить?;Интернет;"How to pay?
";https://spb.rt.ru/support/internet/payment/available-payment-methods
from_arab;Как платить?;Интернет;"How to pay?
";https://spb.rt.ru/support/internet/payment/available-payment-methods
original;Как потратить бонусы?;Интернет;"How to spend bonuses?
";0.0
from_ang;Как потратить бонусы?;Интернет;"How to spend bonuses?
";0.0
from_arab;Как расходуются награды?;Интернет;"How to spend bonuses?
";0.0
original;Каки меодели роутеров?;Интернет;"What are the router models?
";0.0
from_ang;Какие модели роутеров?;Интернет;"What are the router models?
";0.0
from_arab;Какие бывают модели роутера?;Интернет;"What are the router models?
";0.0
original;Как мне узнать свой логин услуги и пароль при условии, что договор был утерен.;Интернет;"How can I find out my service login and password, provided that the contract has been lost.
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
from_ang;Как узнать логин и пароль от услуги, если договор утерян.;Интернет;"How can I find out my service login and password, provided that the contract has been lost.
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
from_arab;Как узнать логин и пароль к услуге в случае разрыва договора.;Интернет;"How can I find out my service login and password, provided that the contract has been lost.
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
original;Можно сменить пароль?;Интернет;"Can I change my password?
";0.0
from_ang;Могу ли я изменить свой пароль?;Интернет;"Can I change my password?
";0.0
from_arab;Могу ли я изменить свой пароль?;Интернет;"Can I change my password?
";0.0
original;Как восстановить логин/пароль для интернета?;Интернет;"How do I recover my login / password for the Internet?
";0.0
from_ang;Как мне восстановить логин / пароль от интернета?;Интернет;"How do I recover my login / password for the Internet?
";0.0
from_arab;Как я могу восстановить свою регистрационную информацию / пароль из Интернета?;Интернет;"How do I recover my login / password for the Internet?
";0.0
original;могу я запросить обратный звонок от оператора?;Интернет;"can i request a call back from the operator?
";0.0
from_ang;могу ли я заказать обратный звонок у оператора?;Интернет;"can i request a call back from the operator?
";0.0
from_arab;Могу ли я заказать обратный звонок у оператора?;Интернет;"can i request a call back from the operator?
";0.0
original;Забыла логин и пароль от входа.;Интернет;"Forgot username and password.
";0.0
from_ang;Забыли логин и пароль.;Интернет;"Forgot username and password.
";0.0
from_arab;Вы забыли свой логин и пароль?;Интернет;"Forgot username and password.
";0.0
original;как можно восстановить пароль?;Интернет;"how can i recover my password?
";0.0
from_ang;как я могу восстановить свой пароль?;Интернет;"how can i recover my password?
";0.0
from_arab;Как я могу восстановить свой пароль?;Интернет;"how can i recover my password?
";0.0
original;Можно ли получить электронную копию договора?;Интернет;"Can I get an electronic copy of the agreement?
";0.0
from_ang;Могу ли я получить электронную копию договора?;Интернет;"Can I get an electronic copy of the agreement?
";0.0
from_arab;Могу ли я получить электронную копию соглашения?;Интернет;"Can I get an electronic copy of the agreement?
";0.0
original;Как узнать свой логин и пароль?;Интернет;"How to find out your username and password?
";0.0
from_ang;Как узнать свой логин и пароль?;Интернет;"How to find out your username and password?
";0.0
from_arab;Как узнать логин и пароль?;Интернет;"How to find out your username and password?
";0.0
original;Есть возможность обновить Настройки сети?;Интернет;"Is it possible to update the Network Settings?
";0.0
from_ang;Можно ли обновить настройки сети?;Интернет;"Is it possible to update the Network Settings?
";0.0
from_arab;Могу ли я обновить настройки сети?;Интернет;"Is it possible to update the Network Settings?
";0.0
original;Забыли пароль от Wi-Fi;Интернет;"Forgot Wi-Fi password
";0.0
from_ang;Забыли пароль Wi-Fi;Интернет;"Forgot Wi-Fi password
";0.0
from_arab;Я забыл свой пароль Wi-Fi;Интернет;"Forgot Wi-Fi password
";0.0
original;Хотел бы узнать, имеется ли возможность замены роутера на более современный, с возможностью охвата сети wi-fi всего помещения;Интернет;"I would like to know if it is possible to replace the router with a more modern one, with the ability to cover the entire room with a wi-fi
";https://spb.rt.ru/support/internet/connect/internet-connection-equipment
from_ang;Хотелось бы узнать, можно ли заменить роутер на более современный, с возможностью накрыть всю комнату wi-fi;Интернет;"I would like to know if it is possible to replace the router with a more modern one, with the ability to cover the entire room with a wi-fi
";https://spb.rt.ru/support/internet/connect/internet-connection-equipment
from_arab;Хотелось бы узнать, можно ли заменить роутер на более современный, с возможностью покрыть всю комнату wi-fi;Интернет;"I would like to know if it is possible to replace the router with a more modern one, with the ability to cover the entire room with a wi-fi
";https://spb.rt.ru/support/internet/connect/internet-connection-equipment
original;Доброй ночи! Хочу узнать свой пароль для PPPoE подключения;Интернет;"Goodnight! I want to know my password for PPPoE connection
";0.0
from_ang;Спокойной ночи! Я хочу знать свой пароль для PPPoE-соединения;Интернет;"Goodnight! I want to know my password for PPPoE connection
";0.0
from_arab;спокойной ночи! Я хочу знать свой пароль PPPoE;Интернет;"Goodnight! I want to know my password for PPPoE connection
";0.0
original;Где посмотреть логин услуги?;Интернет;"Where can I see the service login?
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
from_ang;Где посмотреть логин службы?;Интернет;"Where can I see the service login?
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
from_arab;Где я могу увидеть логин службы?;Интернет;"Where can I see the service login?
";https://spb.rt.ru/support/internet/contract/personal-account-number-under-contract
original;Здравствуйте! Интернет не работает. Сегодня оплатил;Интернет;"Hello! Internet does not work. Paid today
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
from_ang;Здравствуйте! Интернет не работает. Оплачено сегодня;Интернет;"Hello! Internet does not work. Paid today
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
from_arab;Здравствуйте! Интернет не работает. Оплата была произведена сегодня;Интернет;"Hello! Internet does not work. Paid today
";https://spb.rt.ru/support/internet/payment/payment-received-but-no-internet
original;Как будет происходить переход на игровой тариф, если я сейчас оставлю заявку;Интернет;"How will the transition to the gaming tariff take place if I leave a request now?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
from_ang;Как будет происходить переход на игровой тариф, если я оставлю заявку сейчас?;Интернет;"How will the transition to the gaming tariff take place if I leave a request now?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
from_arab;Как будет переход на игровые тарифы, если я оставлю заказ сейчас?;Интернет;"How will the transition to the gaming tariff take place if I leave a request now?
";https://spb.rt.ru/support/internet/tariff-service-management/change-your-plan
original;Добрый вечер Как узнать пароль от вай фай?;Интернет;"Good evening How do I find out the password for Wi-Fi?
";0.0
from_ang;Добрый вечер Как узнать пароль от Wi-Fi?;Интернет;"Good evening How do I find out the password for Wi-Fi?
";0.0
from_arab;Добрый вечер, как мне узнать пароль от Wi-Fi?;Интернет;"Good evening How do I find out the password for Wi-Fi?
";0.0
original;Здравствуйте. Хочу оформить услугу гарантия плюс на WiFi-роутер;Интернет;"Hello. I would like to order the service guarantee plus for a WiFi router
";0.0
from_ang;Здравствуйте. Я хочу заказать услугу плюс гарантия на WiFi роутер;Интернет;"Hello. I would like to order the service guarantee plus for a WiFi router
";0.0
from_arab;Здравствуй. Я хочу заказать услугу, а также гарантию на мой WiFi роутер;Интернет;"Hello. I would like to order the service guarantee plus for a WiFi router
";0.0
original;Где и как отключить антивирус?;Интернет;"Where and how to disable the antivirus?
";https://spb.rt.ru/support/internet/tariff-service-management/disable-service-without-contract-terminating
from_ang;Где и как отключить антивирус?;Интернет;"Where and how to disable the antivirus?
";https://spb.rt.ru/support/internet/tariff-service-management/disable-service-without-contract-terminating
from_arab;Где и как отключить антивирус?;Интернет;"Where and how to disable the antivirus?
";https://spb.rt.ru/support/internet/tariff-service-management/disable-service-without-contract-terminating
original;Как перенастроить другой роутер к подключению;Интернет;"How to reconfigure another router to connect
";0.0
from_ang;Как перенастроить другой роутер для подключения;Интернет;"How to reconfigure another router to connect
";0.0
from_arab;Как перенастроить другой роутер для подключения;Интернет;"How to reconfigure another router to connect
";0.0
original;как и где смотреть бесплатный Wink;ТВ;"how and where to watch free Wink
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_ang;как и где смотреть бесплатно Wink;ТВ;"how and where to watch free Wink
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_arab;Как и где смотреть бесплатно?;ТВ;"how and where to watch free Wink
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
original;У меня не работает винк пишет что нужна инициализация! Что делать?;ТВ;"Vink does not work for me writes that initialization is needed! What to do?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Винк у меня не работает пишет, что нужна инициализация! Что делать?;ТВ;"Vink does not work for me writes that initialization is needed! What to do?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Винк у меня не работает, пишет, что форматирование требуется! что я должен делать?;ТВ;"Vink does not work for me writes that initialization is needed! What to do?
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Здравствуйте, wink не работает, ошибка при инициализации приложения;ТВ;"Hello wink not working, error while initializing the application
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Привет подмигнуть не работает, ошибка при инициализации приложения;ТВ;"Hello wink not working, error while initializing the application
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Привет, не работает, ошибка инициализации приложения;ТВ;"Hello wink not working, error while initializing the application
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Добрый день! Wink ошибка сервера;ТВ;"Good afternoon! Wink server error
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_ang;Добрый день! Ошибка сервера Wink;ТВ;"Good afternoon! Wink server error
";https://spb.rt.ru/support/hometv/setting/hometv-problems
from_arab;Добрый вечер! Ошибка сервера Wink;ТВ;"Good afternoon! Wink server error
";https://spb.rt.ru/support/hometv/setting/hometv-problems
original;Как увидеть на экране смарт Самсунг приложение Wink?;ТВ;"How to see the smart Samsung Wink app on the screen?
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Как увидеть на экране умное приложение Samsung Wink?;ТВ;"How to see the smart Samsung Wink app on the screen?
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Каким вы видите приложение Samsung Wink smart на экране?;ТВ;"How to see the smart Samsung Wink app on the screen?
";https://spb.rt.ru/support/hometv/setting/instructions
original;Где в личном кабинете увидеть промокод на wink;ТВ;"Where to see the promo code on wink in your account
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Где увидеть промокод при подмигивании в личном кабинете;ТВ;"Where to see the promo code on wink in your account
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Где увидеть промокод, когда подмигнешь в свой аккаунт;ТВ;"Where to see the promo code on wink in your account
";https://spb.rt.ru/support/hometv/setting/instructions
original;Здравствуйте, скажите почему при подключении wink пишет что промокод просрочен;ТВ;"Hello, tell me why, when connecting, wink writes that the promo code has expired
";https://spb.rt.ru/support/hometv/setting/instructions
from_ang;Здравствуйте, подскажите почему при подключении wink пишет, что срок действия промокода истек;ТВ;"Hello, tell me why, when connecting, wink writes that the promo code has expired
";https://spb.rt.ru/support/hometv/setting/instructions
from_arab;Эй, подскажите почему при звонке wink пишет, что срок действия промокода истек;ТВ;"Hello, tell me why, when connecting, wink writes that the promo code has expired
";https://spb.rt.ru/support/hometv/setting/instructions
original;Подскажите сколько будет стоить приложение Винк;ТВ;"Tell me how much the Vink app will cost
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_ang;Подскажите сколько будет стоить приложение Винк;ТВ;"Tell me how much the Vink app will cost
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
from_arab;Подскажите сколько будет стоить приложение Винк;ТВ;"Tell me how much the Vink app will cost
";https://spb.rt.ru/support/hometv/connect/tariffs-for-connecting-television
original;Доброе утро, как узнать свой логин в wink;ТВ;"Good morning, how to find out your wink login
";None
from_ang;Доброе утро, как узнать свой логин подмигнуть;ТВ;"Good morning, how to find out your wink login
";None
from_arab;Доброе утро, как узнать свой логин?;ТВ;"Good morning, how to find out your wink login
";None
original;Здравствуйте как подключить Wink?;ТВ;"Hello, how to connect Wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_ang;Здравствуйте, как подключить Wink?;ТВ;"Hello, how to connect Wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
from_arab;Привет, а как подключить Wink?;ТВ;"Hello, how to connect Wink?
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
original;Здравствуйте. В личном кабинете есть промокод на Wink TV попробовали его ввести, пишет что просрочен;ТВ;"Hello. In the personal account there is a promotional code on Wink TV tried to enter it, writes that it is expired
";None
from_ang;Здравствуйте. В личном кабинете есть промокод на Wink TV пробовал ввести, пишет что истек;ТВ;"Hello. In the personal account there is a promotional code on Wink TV tried to enter it, writes that it is expired
";None
from_arab;Здравствуй. В моем аккаунте есть промокод на Wink TV, который я пытался ввести, написав, что срок его действия истек;ТВ;"Hello. In the personal account there is a promotional code on Wink TV tried to enter it, writes that it is expired
";None
original;Добрый день, подскажите может есть какой промокод на телевидение wink?;ТВ;"Good afternoon, tell me, can you have a promotional code for wink TV?
";None
from_ang;Добрый день, подскажите, а можно промокод на Wink TV?;ТВ;"Good afternoon, tell me, can you have a promotional code for wink TV?
";None
from_arab;Подскажите, добрый вечер, можно промокод на Wink TV?;ТВ;"Good afternoon, tell me, can you have a promotional code for wink TV?
";None
original;как подключить винк;ТВ;"how to connect vink
";https://spb.rt.ru/support/hometv/connect/connect-tv-to-house-apartment
